StationName,Latitude,Longitude,StartYear,EndYear,NormalValue.Element,NormalValue.ValueOnJanuary,NormalValue.ValueOnFebruary,NormalValue.ValueOnMarch,NormalValue.ValueOnApril,NormalValue.ValueOnMay,NormalValue.ValueOnJune,NormalValue.ValueOnJuly,NormalValue.ValueOnAugust,NormalValue.ValueOnSeptember,NormalValue.ValueOnOctober,NormalValue.ValueOnNovember,NormalValue.ValueOnDecember
MAE HONG SON,19.299,97.976,1981,2010,Mean Station Pressure,997.043,996.419,995.283,994.588,993.91,993.56,993.52,993.71,994.57,995.89,996.79,997.09
MAE HONG SON,19.299,97.976,1981,2010,Mean MSL Pressure,1014.322,1012.326,1009.539,1007.441,1006.28,1005.34,1005.59,1005.92,1007.95,1010.71,1013.26,1015.18
MAE HONG SON,19.299,97.976,1981,2010,Mean Maximum Temperature,30.138,33.389,36.815,38.707,35.87,33.17,32.19,32.03,32.78,32.65,30.86,28.97
MAE HONG SON,19.299,97.976,1981,2010,Mean Minimum Temperature,13.848,14.32,17.734,22.471,23.58,23.68,23.35,23.23,22.99,22,18.97,15.44
MAE HONG SON,19.299,97.976,1981,2010,Mean Dry-bulb Temperature,20.552,22.589,26.653,30.123,28.94,27.61,27.04,26.88,26.99,26.41,23.97,20.91
MAE HONG SON,19.299,97.976,1981,2010,Mean Relative Humidity,74.783,65.315,54.917,54.812,70.98,79.67,82.16,83.48,82.7,81.39,79.81,78.34
MAE HONG SON,19.299,97.976,1981,2010,Total Rainfall,6.38,6.01,16.76,63.17,174.53,190.51,226.86,239.27,199.02,114.54,44.86,10.4
MAE SARIANG,18.167,97.933,1981,2010,Mean Station Pressure,1000.1,1000.357,1000.295,1000.385,999.8,999.64,999.68,999.72,1000.32,1001.18,999.73,999.69
MAE SARIANG,18.167,97.933,1981,2010,Mean MSL Pressure,1014.048,1012.25,1009.889,1007.971,1006.62,1005.92,1006.18,1006.41,1008.09,1010.46,1012.81,1014.72
MAE SARIANG,18.167,97.933,1981,2010,Mean Maximum Temperature,31.391,33.99,36.502,37.877,34.94,31.65,30.72,30.71,32.06,32.79,31.96,30.52
MAE SARIANG,18.167,97.933,1981,2010,Mean Minimum Temperature,13.628,13.755,17.539,22.314,23.89,23.59,23.22,23.15,23.05,22.27,19.23,15.29
MAE SARIANG,18.167,97.933,1981,2010,Mean Dry-bulb Temperature,20.36,22.239,25.993,29.29,28.43,26.8,26.24,26.15,26.52,26.15,23.94,20.87
MAE SARIANG,18.167,97.933,1981,2010,Mean Relative Humidity,77.657,69.425,61.957,62.093,74.96,84.15,85.64,86.4,84.93,84.1,81.77,80.14
MAE SARIANG,18.167,97.933,1981,2010,Total Rainfall,1.533,6.534,14.224,44.684,162.33,183.01,181.18,220.45,177.07,115.24,22.06,7.63
CHIANG RAI,19.961,99.881,1981,2010,Mean Station Pressure,994.781,994.089,993.415,992.877,992.31,991.82,991.75,991.89,992.86,994.08,994.86,995.07
CHIANG RAI,19.961,99.881,1981,2010,Mean MSL Pressure,1014.082,1011.696,1009.047,1007.256,1005.97,1004.26,1004.33,1004.81,1007.68,1011.22,1014.03,1015.8
CHIANG RAI,19.961,99.881,1981,2010,Mean Maximum Temperature,28.602,31.326,33.834,34.849,33.09,32.14,31.07,30.93,31.15,30.46,28.83,27.22
CHIANG RAI,19.961,99.881,1981,2010,Mean Minimum Temperature,12.82,13.665,16.855,20.587,22.51,23.55,23.44,23.32,22.65,21.09,17.25,13.48
CHIANG RAI,19.961,99.881,1981,2010,Mean Dry-bulb Temperature,19.715,21.58,24.58,27.125,27.13,27.23,26.66,26.48,26.19,25.06,22.24,19.41
CHIANG RAI,19.961,99.881,1981,2010,Mean Relative Humidity,74.565,67.01,62.489,65.798,75.66,79.56,82.35,83.97,83.5,81.88,79.31,77.1
CHIANG RAI,19.961,99.881,1981,2010,Total Rainfall,7.504,13.797,28.194,97.871,213.44,178.41,310.86,358.43,283.87,124.87,59.24,14.03
CHAING RAI AGROMET.,19.871,99.783,1981,2010,Mean Station Pressure,967.539,965.345,963.279,962.068,960.65,959.39,959.04,959.58,961.66,964.8,967.23,967.21
CHAING RAI AGROMET.,19.871,99.783,1981,2010,Mean MSL Pressure,1013.356,1010.779,1008.222,1006.564,1005.14,1003.76,1003.51,1004.1,1006.29,1009.71,1012.75,1013.15
CHAING RAI AGROMET.,19.871,99.783,1981,2010,Mean Maximum Temperature,28.473,31.256,33.697,34.91,32.82,31.87,30.94,30.68,30.79,29.99,28.34,26.7
CHAING RAI AGROMET.,19.871,99.783,1981,2010,Mean Minimum Temperature,13.47,14.501,17.319,21.503,22.86,23.66,23.72,23.48,22.9,21.78,17.03,14.29
CHAING RAI AGROMET.,19.871,99.783,1981,2010,Mean Dry-bulb Temperature,19.873,21.697,24.143,27.005,26.86,27.31,26.75,26.46,26.32,25.34,22.06,19.98
CHAING RAI AGROMET.,19.871,99.783,1981,2010,Mean Relative Humidity,77.38,72.501,69.927,71.495,78.52,80.22,83.27,85.21,83.66,83.5,78.96,79.33
CHAING RAI AGROMET.,19.871,99.783,1981,2010,Total Rainfall,8.711,13.454,26.584,86.557,213.2,190.15,309.96,342.46,257.23,113.79,57.83,12.46
PHAYAO,19.133,99.9,1981,2010,Mean Station Pressure,993.669,992.954,992.855,992.334,991.17,990.72,990.66,990.12,991.72,992.96,993.74,993.95
PHAYAO,19.133,99.9,1981,2010,Mean MSL Pressure,1012.983,1011.253,1008.134,1006.47,1005.32,1003.96,1004.09,1004.6,1007.07,1010.49,1013.18,1014.86
PHAYAO,19.133,99.9,1981,2010,Mean Maximum Temperature,29.309,32.229,34.983,35.984,33.55,32.45,31.63,31.34,31.35,30.71,29.2,27.77
PHAYAO,19.133,99.9,1981,2010,Mean Minimum Temperature,13.709,15.441,19.475,22.905,23.56,24.01,23.66,23.46,22.98,21.7,17.98,13.97
PHAYAO,19.133,99.9,1981,2010,Mean Dry-bulb Temperature,20.563,22.803,26.433,28.656,27.79,27.6,27.01,26.67,26.32,25.3,22.65,19.96
PHAYAO,19.133,99.9,1981,2010,Mean Relative Humidity,74.694,65.612,58.408,61.879,74.49,77.75,80.34,83.04,84.38,83.93,81.35,78.84
PHAYAO,19.133,99.9,1981,2010,Total Rainfall,5.738,9.221,30.207,89.223,179.72,102.85,141.82,203.98,203.57,122.57,37.32,10.91
DOI ANG KANG,19.931,99.048,1981,2010,Mean Station Pressure,848.093,847.255,846.443,845.855,844.24,843.33,842.82,843.17,844.9,847.3,848.37,847.86
DOI ANG KANG,19.931,99.048,1981,2010,Mean MSL Pressure,1011.018,1008.553,1005.918,1004.647,1003.92,1002.89,1002.66,1003.29,1005.34,1008.74,1011.11,1011.3
DOI ANG KANG,19.931,99.048,1981,2010,Mean Maximum Temperature,19.973,23.035,26.157,27.356,24.32,24.01,22.9,22.42,22.56,21.59,19.76,18.71
DOI ANG KANG,19.931,99.048,1981,2010,Mean Minimum Temperature,13.016,14.957,17.506,18.583,17.63,17.83,17.65,17.67,17.49,16.81,14.27,12.55
DOI ANG KANG,19.931,99.048,1981,2010,Mean Dry-bulb Temperature,16.776,19.275,22.15,23.156,21.06,20.95,20.29,19.94,19.95,19.01,17.17,15.85
DOI ANG KANG,19.931,99.048,1981,2010,Mean Relative Humidity,63.835,46.818,45.926,58.82,79.7,84.5,87.52,90.71,88.46,88.43,76.65,72.88
DOI ANG KANG,19.931,99.048,1981,2010,Total Rainfall,18.84,10.54,17.66,96.06,279.3,179.02,321.2,403.34,297.9,246.6,34.4,1.32
MAE JO AGROMET.,18.783,98.983,1981,2010,Mean Station Pressure,979.27,976.994,973.691,973.378,972.76,970.86,970.21,970.13,972.59,976.59,978.19,978.96
MAE JO AGROMET.,18.783,98.983,1981,2010,Mean MSL Pressure,1016.95,1013.345,1009.565,1008.976,1008.5,1006.39,1005.81,1005.74,1008.29,1011.79,1013.75,1014.74
MAE JO AGROMET.,18.783,98.983,1981,2010,Mean Maximum Temperature,29.398,32.841,36.142,36.058,32.31,33.53,31.86,32.25,32.49,32.05,30.68,30.17
MAE JO AGROMET.,18.783,98.983,1981,2010,Mean Minimum Temperature,14.721,15.181,17.586,21.308,22.45,23.7,23.54,23.18,23.1,21.49,17.71,15.36
MAE JO AGROMET.,18.783,98.983,1981,2010,Mean Dry-bulb Temperature,20.747,23.231,26.117,28.24,26.81,28.03,27.21,26.79,27.1,26.94,24.45,22.97
MAE JO AGROMET.,18.783,98.983,1981,2010,Mean Relative Humidity,71.435,64.463,60.522,65.211,78.83,77.96,80.82,83.28,82.14,75.18,70.91,66.71
MAE JO AGROMET.,18.783,98.983,1981,2010,Total Rainfall,3.067,7.064,18.316,55.378,163.93,128.76,169.45,185.11,186.83,98.37,50.74,15.9
CHIANG MAI,18.79,98.977,1981,2010,Mean Station Pressure,997.879,997.214,996.547,996.011,995.5,995.15,995.1,995.21,996.03,997.11,997.85,998.1
CHIANG MAI,18.79,98.977,1981,2010,Mean MSL Pressure,1013.593,1011.375,1009.045,1007.381,1006.26,1005.02,1005.08,1005.46,1007.76,1010.75,1013.21,1014.91
CHIANG MAI,18.79,98.977,1981,2010,Mean Maximum Temperature,29.815,32.656,35.183,36.5,34.18,32.69,31.84,31.53,31.7,31.43,30.09,28.56
CHIANG MAI,18.79,98.977,1981,2010,Mean Minimum Temperature,14.887,16.24,19.523,22.861,23.8,24.02,23.89,23.7,23.25,22.21,19.23,15.74
CHIANG MAI,18.79,98.977,1981,2010,Mean Dry-bulb Temperature,21.539,23.92,27.082,29.25,28.24,27.64,27.2,26.84,26.68,26.08,24,21.43
CHIANG MAI,18.79,98.977,1981,2010,Mean Relative Humidity,68.243,57.7,52.382,56.666,71.05,76.65,78.49,81,81.41,78.99,75.43,72.77
CHIANG MAI,18.79,98.977,1981,2010,Total Rainfall,4.161,8.917,17.774,57.297,161.98,124.54,140.24,216.86,211.38,117.62,53.89,15.91
LAMPANG,18.283,99.517,1981,2010,Mean Station Pressure,1000.576,1000.157,999.369,999.069,998.55,998.25,998.22,998.29,999.12,1000.13,1000.35,999.88
LAMPANG,18.283,99.517,1981,2010,Mean MSL Pressure,1013.718,1011.43,1009.038,1007.39,1006.34,1005.26,1005.32,1005.65,1007.99,1011.01,1013.52,1015.2
LAMPANG,18.283,99.517,1981,2010,Mean Maximum Temperature,31.569,34.445,37.16,38.281,35.55,34.03,33.3,32.96,32.84,32.29,31.31,30.15
LAMPANG,18.283,99.517,1981,2010,Mean Minimum Temperature,15.02,16.609,20.09,23.396,24.17,24.35,24.15,23.93,23.51,22.34,19.06,15.28
LAMPANG,18.283,99.517,1981,2010,Mean Dry-bulb Temperature,22.207,24.671,27.957,29.986,28.84,28.25,27.82,27.43,27.04,26.3,24.19,21.59
LAMPANG,18.283,99.517,1981,2010,Mean Relative Humidity,70.397,61.57,56.586,59.775,72.46,76.18,77.63,80.54,83.13,82.24,78.43,74.62
LAMPANG,18.283,99.517,1981,2010,Total Rainfall,2.838,8.76,22.754,65.897,160.35,117.52,134.64,186.26,211.61,98.31,29.47,7.01
THOEN,17.637,99.245,1981,2010,Mean Station Pressure,988.02,987.279,984.867,986.222,984.52,983.72,983.93,983.89,984.76,985.21,982.43,980.9
THOEN,17.637,99.245,1981,2010,Mean MSL Pressure,1013.018,1010.739,1008.759,1007.571,1006.12,1005.27,1005.53,1005.5,1007.43,1010.43,1012.37,1013.13
THOEN,17.637,99.245,1981,2010,Mean Maximum Temperature,32.142,35.083,37.602,37.924,34.32,33.33,32.69,32.38,32.47,31.82,31.28,30.33
THOEN,17.637,99.245,1981,2010,Mean Minimum Temperature,15.731,18.06,21.339,24.368,24.38,24.32,23.99,23.73,23.41,22.42,19.09,16.11
THOEN,17.637,99.245,1981,2010,Mean Dry-bulb Temperature,23.911,26.905,29.722,30.788,28.84,28.49,28.13,27.74,27.6,26.95,25.28,23.35
THOEN,17.637,99.245,1981,2010,Mean Relative Humidity,64.638,56.035,51.866,59.206,73.42,76.01,76.7,78.92,80.63,80.44,73.56,69.13
THOEN,17.637,99.245,1981,2010,Total Rainfall,14.94,5.16,24.14,93.66,249.52,161.76,123.42,179.64,232.26,182.74,17.44,10.24
LAMPANG AGROMET.,18.317,99.283,1981,2010,Mean Station Pressure,975.679,973.842,971.701,971.341,970.2,969.16,968.67,969.04,970.83,973.52,975.81,975.84
LAMPANG AGROMET.,18.317,99.283,1981,2010,Mean MSL Pressure,1011.886,1009.647,1007.049,1006.521,1005.62,1004.53,1004.17,1004.61,1006.45,1009.34,1011.93,1012.13
LAMPANG AGROMET.,18.317,99.283,1981,2010,Mean Maximum Temperature,31.045,34.134,37.025,37.781,33.91,33.86,32.12,31.77,31.92,31.15,30.5,29.76
LAMPANG AGROMET.,18.317,99.283,1981,2010,Mean Minimum Temperature,15.345,16.729,20.458,23.399,23.73,23.83,23.57,23.37,23.11,22.08,17.93,15.89
LAMPANG AGROMET.,18.317,99.283,1981,2010,Mean Dry-bulb Temperature,22.783,25.861,28.986,30.539,28.57,28.57,27.61,27.2,27.18,26.34,24.31,22.86
LAMPANG AGROMET.,18.317,99.283,1981,2010,Mean Relative Humidity,68.742,54.586,49.067,57.078,74.08,77.06,80.98,83.2,82.94,82.34,75.02,72.05
LAMPANG AGROMET.,18.317,99.283,1981,2010,Total Rainfall,3.482,8.639,23.656,56.345,162.26,138.91,136.74,203.34,215.23,101.08,29.14,6.62
LAMPHUN,18.567,99.034,1981,2010,Mean Station Pressure,998.713,998.022,997.27,996.764,996.24,995.92,995.9,995.98,996.8,997.92,998.67,998.93
LAMPHUN,18.567,99.034,1981,2010,Mean MSL Pressure,1013.529,1011.357,1008.776,1007.092,1006.08,1004.94,1004.96,1005.4,1007.67,1010.76,1013.38,1015.13
LAMPHUN,18.567,99.034,1981,2010,Mean Maximum Temperature,30.761,33.838,36.688,37.913,35.03,33.35,32.8,32.38,32.1,31.54,30.4,29.16
LAMPHUN,18.567,99.034,1981,2010,Mean Minimum Temperature,14.254,15.726,19.397,23.169,23.96,24.29,24.02,23.81,23.38,22.31,18.96,15.11
LAMPHUN,18.567,99.034,1981,2010,Mean Dry-bulb Temperature,21.708,24.319,27.688,30.055,28.72,28.2,27.84,27.34,26.89,26.12,23.89,21.33
LAMPHUN,18.567,99.034,1981,2010,Mean Relative Humidity,69.889,59.201,53.817,56.84,71.66,75.71,76.68,79.69,83.43,83.11,79.84,75.38
LAMPHUN,18.567,99.034,1981,2010,Total Rainfall,2.825,4.897,13.101,44.517,154.84,124.19,116.96,172.67,208.21,110.15,44.07,7.39
PHRAE,18.167,100.167,1981,2010,Mean Station Pressure,1000.155,999.592,998.394,1000.205,1000.34,1000.98,1000.74,1000.65,998.71,999.19,998.46,998.77
PHRAE,18.167,100.167,1981,2010,Mean MSL Pressure,1013.496,1011.236,1008.957,1007.318,1006.2,1005.17,1005.24,1005.58,1007.75,1010.69,1013.13,1014.85
PHRAE,18.167,100.167,1981,2010,Mean Maximum Temperature,31.157,33.688,36.341,37.636,35.27,33.59,32.64,32.3,32.36,32.13,31.19,29.95
PHRAE,18.167,100.167,1981,2010,Mean Minimum Temperature,15.733,17.542,21.161,24.335,24.67,24.67,24.43,24.34,24.04,22.98,19.65,15.86
PHRAE,18.167,100.167,1981,2010,Mean Dry-bulb Temperature,22.318,24.569,27.858,30.003,28.99,28.2,27.69,27.41,27.18,26.52,24.41,21.84
PHRAE,18.167,100.167,1981,2010,Mean Relative Humidity,73.648,67.899,61.718,63.865,74.47,79.31,81.01,82.91,84.38,82.99,79.23,75.91
PHRAE,18.167,100.167,1981,2010,Total Rainfall,5.775,8.841,27.624,82.12,178.11,138.79,154.22,205.52,191.68,88.77,25.58,7.82
NAN,18.78,100.778,1981,2010,Mean Station Pressure,1000.008,1000.201,999.825,1001.181,1000.23,999.86,999.83,999.9,1000.53,1000.05,998.37,997.73
NAN,18.78,100.778,1981,2010,Mean MSL Pressure,1014.199,1011.784,1009.339,1007.654,1006.47,1005.17,1005.21,1005.51,1007.94,1011.08,1013.71,1015.61
NAN,18.78,100.778,1981,2010,Mean Maximum Temperature,30.759,33.416,36.19,37.022,35.01,33.49,32.45,32.17,32.69,32.48,31.18,29.65
NAN,18.78,100.778,1981,2010,Mean Minimum Temperature,14.208,15.624,18.894,22.274,23.54,24.04,23.84,23.64,23.3,21.95,18.45,14.46
NAN,18.78,100.778,1981,2010,Mean Dry-bulb Temperature,21.397,23.579,26.774,28.989,28.6,28.32,27.67,27.3,27.15,26.37,23.88,20.95
NAN,18.78,100.778,1981,2010,Mean Relative Humidity,76.074,69.816,65.077,67.568,75.98,79.18,81.65,84.2,84.19,82.01,79.57,77.95
NAN,18.78,100.778,1981,2010,Total Rainfall,4.414,11.908,32.694,99.623,177.27,133.77,200.75,273.2,203.54,70.25,18.06,8.61
NAN AGROMET.,18.867,100.75,1981,2010,Mean Station Pressure,983.794,981.453,979.293,978.158,976.79,975.69,975.55,975.85,977.61,980.56,982.84,983.21
NAN AGROMET.,18.867,100.75,1981,2010,Mean MSL Pressure,1014.372,1011.72,1009.211,1007.8,1006.44,1005.28,1005.2,1005.54,1007.36,1010.47,1013.13,1013.77
NAN AGROMET.,18.867,100.75,1981,2010,Mean Maximum Temperature,30.309,32.948,35.229,35.836,33.46,32.87,31.62,31.4,31.97,31.87,30.86,29.74
NAN AGROMET.,18.867,100.75,1981,2010,Mean Minimum Temperature,13.048,15.255,18.238,22.047,23.29,23.81,23.71,23.38,23.03,21.81,16.91,14.21
NAN AGROMET.,18.867,100.75,1981,2010,Mean Dry-bulb Temperature,20.847,23.149,25.889,28.257,27.74,27.93,27.29,26.93,26.97,26.28,23.36,21.11
NAN AGROMET.,18.867,100.75,1981,2010,Mean Relative Humidity,74.484,69.955,66.735,69.258,77.62,80.31,83.04,85.28,84.08,82.97,77.84,76.94
NAN AGROMET.,18.867,100.75,1981,2010,Total Rainfall,4.595,9.181,31.358,103.291,178.78,148.48,221.91,293.55,189.42,73.41,23.86,9.27
THA WANGPHA,19.111,100.803,1981,2010,Mean Station Pressure,996.964,996.708,995.977,996.323,995.59,994.35,994.28,994.39,995.58,996.99,996.75,995.94
THA WANGPHA,19.111,100.803,1981,2010,Mean MSL Pressure,1014.272,1012.388,1009.704,1007.918,1006.67,1005.44,1005.29,1005.83,1008.06,1011.6,1014.15,1015.74
THA WANGPHA,19.111,100.803,1981,2010,Mean Maximum Temperature,29.428,32.442,35.282,36.21,34.01,32.43,31.27,31.09,31.85,31.5,29.93,28.26
THA WANGPHA,19.111,100.803,1981,2010,Mean Minimum Temperature,13.406,14.643,18.288,21.922,23.59,24.24,23.89,23.65,23.29,21.71,17.93,13.89
THA WANGPHA,19.111,100.803,1981,2010,Mean Dry-bulb Temperature,20.6,22.443,25.943,28.333,28.08,27.85,27.21,26.9,26.82,25.84,23.1,20.46
THA WANGPHA,19.111,100.803,1981,2010,Mean Relative Humidity,78.224,72.484,67.965,70.253,78.24,81.72,84.36,85.96,85.31,83.69,81.41,79.73
THA WANGPHA,19.111,100.803,1981,2010,Total Rainfall,7.044,9.001,33.517,102.527,183.04,173.39,268.39,297.78,211.49,83.38,27.58,11.05
THUNG CHANG,19.412,100.884,1981,2010,Mean Station Pressure,978.661,976.917,975.221,974.197,972.42,971.39,971.24,971.49,973.63,976.48,980.86,981.49
THUNG CHANG,19.412,100.884,1981,2010,Mean MSL Pressure,1014.326,1012.339,1009.692,1008.06,1006.55,1005.31,1005.1,1005.6,1007.96,1011.31,1013.79,1015.17
THUNG CHANG,19.412,100.884,1981,2010,Mean Maximum Temperature,29.713,32.04,34.109,34.945,32.76,31.78,30.74,30.6,31.2,31.34,30.17,28.76
THUNG CHANG,19.412,100.884,1981,2010,Mean Minimum Temperature,13.471,14.736,17.433,21.157,22.85,23.78,23.61,23.46,22.76,21.13,17.06,14.36
THUNG CHANG,19.412,100.884,1981,2010,Mean Dry-bulb Temperature,20.374,22.148,24.756,27.205,26.95,27.08,26.53,26.26,26,25.27,22.55,20.4
THUNG CHANG,19.412,100.884,1981,2010,Mean Relative Humidity,78.657,74.041,71.008,74.67,82.2,84.97,87.25,88.77,87.4,84.46,80.01,78.77
THUNG CHANG,19.412,100.884,1981,2010,Total Rainfall,22.515,15.339,46.162,120.508,220.13,216.23,328.23,386.68,270.02,90.46,20.45,13.41
UTTARADIT,17.617,100.1,1981,2010,Mean Station Pressure,1005.526,1003.867,1003.253,1001.587,1000.72,1000.8,1001.06,999.97,1000.83,1003.27,1005.44,1006.85
UTTARADIT,17.617,100.1,1981,2010,Mean MSL Pressure,1013.032,1011.181,1009.132,1007.605,1006.42,1005.45,1005.47,1005.78,1007.69,1010.35,1012.63,1014.22
UTTARADIT,17.617,100.1,1981,2010,Mean Maximum Temperature,32.24,34.465,36.528,37.897,35.9,34.16,33.31,32.92,33.28,33.26,32.37,31.15
UTTARADIT,17.617,100.1,1981,2010,Mean Minimum Temperature,17.789,19.351,22.095,24.651,25.06,25.03,24.79,24.53,24.31,23.49,20.95,17.99
UTTARADIT,17.617,100.1,1981,2010,Mean Dry-bulb Temperature,24.135,26.129,28.736,30.751,29.84,28.93,28.44,28.01,28.05,27.68,25.94,23.71
UTTARADIT,17.617,100.1,1981,2010,Mean Relative Humidity,68.138,64.536,62.357,63.515,72.98,78.36,79.7,82.68,82.44,79.52,74.28,69.61
UTTARADIT,17.617,100.1,1981,2010,Total Rainfall,5.511,14.527,23.44,71.01,230.03,206.35,166.38,263.38,248.28,110.97,26.69,4.97
NONG KHAI,17.867,102.733,1981,2010,Mean Station Pressure,1000.664,1000.002,999.193,1000.519,1000.72,1000.89,1000.78,1000.78,999.09,999.19,998.23,998.87
NONG KHAI,17.867,102.733,1981,2010,Mean MSL Pressure,1014.588,1012.213,1009.842,1008.027,1006.75,1005.22,1005.1,1005.28,1007.86,1011.07,1013.68,1015.66
NONG KHAI,17.867,102.733,1981,2010,Mean Maximum Temperature,29.674,32.116,34.678,36.171,34.23,33.02,32.39,31.94,31.93,31.8,30.63,28.92
NONG KHAI,17.867,102.733,1981,2010,Mean Minimum Temperature,16.815,19.092,21.856,24.287,24.66,24.88,24.7,24.5,24.12,22.9,19.77,16.49
NONG KHAI,17.867,102.733,1981,2010,Mean Dry-bulb Temperature,22.537,24.899,27.569,29.499,28.59,28.23,27.82,27.52,27.44,26.74,24.62,22.07
NONG KHAI,17.867,102.733,1981,2010,Mean Relative Humidity,68.81,66.088,64.299,67.433,77.8,82.5,83.84,85.3,83.44,77.69,71.14,68.73
NONG KHAI,17.867,102.733,1981,2010,Total Rainfall,8.331,17.343,39.784,83.44,224.92,262.29,281.44,323.24,257.19,90.91,15.21,4.34
LOEI,17.45,101.733,1981,2010,Mean Station Pressure,1000.277,999.776,999.074,998.734,998.12,997.7,997.61,997.66,998.54,999.67,1000.29,999.97
LOEI,17.45,101.733,1981,2010,Mean MSL Pressure,1014.514,1012.095,1009.794,1008.125,1006.85,1005.36,1005.3,1005.5,1008.02,1011.21,1013.8,1015.69
LOEI,17.45,101.733,1981,2010,Mean Maximum Temperature,30.131,32.913,35.102,35.896,33.78,33.04,32.3,31.95,31.6,31.05,30.24,28.89
LOEI,17.45,101.733,1981,2010,Mean Minimum Temperature,14.856,16.992,19.952,22.713,23.68,24.25,23.99,23.81,23.1,21.84,18.52,14.92
LOEI,17.45,101.733,1981,2010,Mean Dry-bulb Temperature,21.731,24.218,26.877,28.406,27.72,27.82,27.44,27.06,26.42,25.65,23.61,21.08
LOEI,17.45,101.733,1981,2010,Mean Relative Humidity,68.386,63.405,60.972,66.756,76.77,77.41,78.03,80.12,83.28,80.52,75.02,71.09
LOEI,17.45,101.733,1981,2010,Total Rainfall,6.197,16.101,39.317,102.683,199.25,159.56,145.84,184.87,234.99,123.33,20.02,8.68
LOEI AGROMET.,17.4,101.733,1981,2010,Mean Station Pressure,983.801,981.458,979.401,978.284,976.83,975.59,975.27,975.51,977.39,980.28,982.73,983.14
LOEI AGROMET.,17.4,101.733,1981,2010,Mean MSL Pressure,1014.247,1011.54,1009.155,1007.886,1006.47,1005.12,1004.83,1005.13,1007.12,1010.18,1012.96,1013.55
LOEI AGROMET.,17.4,101.733,1981,2010,Mean Maximum Temperature,29.533,32.37,34.763,34.935,32.75,33.37,32.69,32.08,31.77,30.74,30.1,29.05
LOEI AGROMET.,17.4,101.733,1981,2010,Mean Minimum Temperature,15.109,17.651,20.557,23.035,23.57,24.21,24.06,23.76,23.27,22.25,18.11,16
